RideID,TicketNumber,PTimeStamp
100000,113176,2019-01-04 11:37:24.083000000
100000,113186,2019-01-05 11:39:51.083000000
100000,113187,2019-01-05 11:39:24.083000000
100000,113220,2019-01-06 11:40:33.083000000
100000,113246,2019-01-06 11:40:32.083000000
100000,113253,2019-01-07 11:42:15.083000000
100000,113256,2019-01-07 11:42:08.083000000
100000,113257,2019-01-07 11:41:59.083000000
100000,113257,2019-01-07 11:42:32.083000000
100000,113263,2019-01-07 11:42:50.083000000
100000,113284,2019-01-08 11:44:15.083000000
100000,113291,2019-01-08 11:44:25.083000000
100000,113315,2019-01-08 11:43:48.083000000
100000,113319,2019-01-08 11:43:53.083000000
100000,113328,2019-01-08 11:43:49.083000000
100000,113342,2019-01-09 11:45:41.083000000
100000,113358,2019-01-09 11:45:49.083000000
100000,113377,2019-01-10 11:46:59.083000000
100000,113377,2019-01-10 11:47:01.083000000
100000,113377,2019-01-10 11:47:03.083000000
100000,113377,2019-01-10 11:47:13.083000000
100000,113410,2019-01-11 11:48:44.083000000
100000,113412,2019-01-11 11:48:38.083000000
100000,113423,2019-01-12 11:49:21.083000000
100000,113425,2019-01-12 11:49:23.083000000
100000,113426,2019-01-12 11:49:40.083000000
100000,113434,2019-01-12 11:49:59.083000000
100000,113436,2019-01-12 11:49:25.083000000
100000,113436,2019-01-12 11:49:51.083000000
100000,113446,2019-01-13 11:50:44.083000000
100000,113451,2019-01-13 11:51:03.083000000
100000,113470,2019-01-13 11:51:07.083000000
100000,113473,2019-01-13 11:50:57.083000000
100000,113476,2019-01-13 11:51:02.083000000
100000,113484,2019-01-13 11:51:05.083000000
100000,113492,2019-01-13 11:50:54.083000000
100000,113498,2019-01-14 11:52:13.083000000
100000,113504,2019-01-14 11:51:57.083000000
100000,113521,2019-01-14 11:51:42.083000000
100000,113531,2019-01-14 11:52:14.083000000
100000,113551,2019-01-14 11:52:04.083000000
100000,113580,2019-01-15 11:53:48.083000000
100000,113585,2019-01-15 11:53:26.083000000
100000,113587,2019-01-15 11:53:06.083000000
100000,113619,2019-01-16 11:55:04.083000000
100000,113630,2019-01-16 11:55:11.083000000
100000,113637,2019-01-17 11:56:05.083000000
100000,113639,2019-01-17 11:55:59.083000000
100000,113650,2019-01-17 11:56:03.083000000
100000,113671,2019-01-17 11:55:52.083000000
100000,113768,2019-01-19 11:58:21.083000000
100000,113775,2019-01-19 11:58:47.083000000
100000,113779,2019-01-19 11:58:17.083000000
100000,113786,2019-01-20 12:00:06.083000000
100000,113788,2019-01-20 12:00:08.083000000
100000,113789,2019-01-20 12:00:11.083000000
100000,113794,2019-01-21 12:00:43.083000000
100000,113798,2019-01-21 12:01:08.083000000
100000,113803,2019-01-21 12:01:27.083000000
100000,113818,2019-01-21 12:01:17.083000000
100000,113825,2019-01-21 12:00:44.083000000
100000,113827,2019-01-21 12:00:45.083000000
100000,113832,2019-01-21 12:00:47.083000000
100000,113836,2019-01-21 12:00:49.083000000
100000,113838,2019-01-22 12:03:00.083000000
100000,113840,2019-01-22 12:03:02.083000000
100000,113845,2019-01-22 12:02:59.083000000
100000,113848,2019-01-22 12:02:53.083000000
100000,113850,2019-01-22 12:02:37.083000000
100000,113850,2019-01-22 12:02:56.083000000
