ItemName,EmployeeID,DateSold
Bottled Water,100016,2019-01-04 02:22:55.557000000
Bottled Water,100016,2019-01-04 02:22:56.557000000
Bottled Water,100016,2019-01-04 02:22:58.557000000
Bottled Water,100016,2019-01-04 02:23:38.557000000
Bottled Water,100016,2019-01-04 02:23:40.557000000
Bottled Water,100016,2019-01-06 02:26:15.557000000
Bottled Water,100016,2019-01-06 02:26:17.557000000
Bottled Water,100016,2019-01-06 02:26:32.557000000
Bottled Water,100016,2019-01-07 02:28:00.557000000
Bottled Water,100016,2019-01-07 02:28:22.557000000
Bottled Water,100016,2019-01-08 02:29:40.557000000
Bottled Water,100016,2019-01-10 02:32:19.557000000
Bottled Water,100016,2019-01-10 02:32:48.557000000
Bottled Water,100016,2019-01-11 02:34:29.557000000
Bottled Water,100016,2019-01-11 02:34:59.557000000
Bottled Water,100016,2019-01-12 02:36:03.557000000
Bottled Water,100016,2019-01-12 02:36:18.557000000
Bottled Water,100016,2019-01-13 02:38:14.557000000
Bottled Water,100016,2019-01-13 02:38:16.557000000
Bottled Water,100016,2019-01-13 02:38:30.557000000
Bottled Water,100016,2019-01-14 02:39:56.557000000
Bottled Water,100016,2019-01-15 02:40:59.557000000
Bottled Water,100016,2019-01-15 02:41:28.557000000
Bottled Water,100016,2019-01-17 02:43:47.557000000
Bottled Water,100016,2019-01-20 02:48:04.557000000
Bottled Water,100016,2019-01-22 02:52:22.557000000
Bottled Water,100016,2019-01-22 02:52:37.557000000
Bottled Water,100016,2019-01-23 02:54:00.557000000
Bottled Water,100016,2019-01-23 02:54:02.557000000
Bottled Water,100016,2019-01-24 02:56:04.557000000
Bottled Water,100016,2019-01-25 02:57:09.557000000
Bottled Water,100016,2019-01-25 02:57:20.557000000
Bottled Water,100016,2019-01-25 02:57:27.557000000
Bottled Water,100016,2019-01-27 03:00:14.557000000
Bottled Water,100016,2019-01-29 03:03:27.557000000
Bottled Water,100016,2019-01-30 03:05:00.557000000
Bottled Water,100016,2019-02-02 03:08:20.557000000
Bottled Water,100016,2019-02-02 03:08:35.557000000
Bottled Water,100016,2019-02-02 03:08:42.557000000
Bottled Water,100016,2019-02-03 03:11:01.557000000
Bottled Water,100016,2019-02-03 03:11:41.557000000
